"N","Price","Degree","Error"
1000,1.11109966460269,2,1.21319033539731
5000,1.0111107451897,2,1.3131792548103
10000,1.15672915748619,2,1.16756084251381
50000,1.19216007467341,2,1.13212992532659
100000,1.18889807520093,2,1.13539192479907
500000,1.19185930420678,2,1.13243069579322
1000000,1.18975700579148,2,1.13453299420852
1000,1.12519444296363,3,1.19909555703637
5000,1.0146674165922,3,1.3096225834078
10000,1.15948567135427,3,1.16480432864573
50000,1.01150753786875,3,1.31278246213125
100000,1.03828926981356,3,1.28600073018644
500000,1.02499644574177,3,1.29929355425823
1000000,1.04610481087099,3,1.27818518912901
1000,1.11674101818336,4,1.20754898181664
5000,1.02624452436941,4,1.29804547563059
10000,1.16623844786593,4,1.15805155213407
50000,0.999057895805079,4,1.32523210419492
100000,1.03929456123582,4,1.28499543876418
500000,1.09843635062702,4,1.22585364937298
1000000,1.0880582624767,4,1.2362317375233
1000,1.14163091221828,5,1.18265908778172
5000,1.04406816849019,5,1.28022183150981
10000,1.22130869567631,5,1.10298130432369
50000,1.01590375560534,5,1.30838624439466
100000,1.02455080509558,5,1.29973919490442
500000,1.12773229849934,5,1.19655770150066
1000000,1.13692734827225,5,1.18736265172775
